N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,이마트,"145,000","1,500",-1.02%,"5,000","40,420","27,876",31.01,"204,373",7.27,2.76,
60,CJ대한통운,"177,000","5,000",-2.75%,"5,000","40,378","22,812",21.22,"141,082",44.67,1.41,
61,한미사이언스,"58,800",100,-0.17%,500,"38,815","66,011",1.99,"229,596",137.06,4.73,
62,맥쿼리인프라,"11,050",50,+0.45%,0,"38,569","349,044",18.10,"340,315",N/A,N/A,
63,LG이노텍,"157,500","4,000",-2.48%,"5,000","37,276","23,667",35.24,"164,355",16.30,4.73,
64,SK케미칼,"316,500","20,500",-6.08%,"5,000","37,162","11,741",11.42,"457,153",16.28,1.51,
65,두산중공업,"14,400",600,-4.00%,"5,000","36,452","253,141",7.02,"5,892,448",-2.84,-14.73,
66,현대건설,"32,000",100,-0.31%,"5,000","35,634","111,356",21.31,"455,014",10.59,6.30,
67,현대중공업지주,"222,500",500,-0.22%,"5,000","35,152","15,799",18.03,"39,132",-15.69,2.20,
68,한미약품,"295,000","6,500",+2.25%,"2,500","34,937","11,843",14.43,"65,329",96.91,7.30,
69,삼성중공업,"5,420",20,-0.37%,"5,000","34,146","630,000",15.05,"2,890,038",-1.87,-21.88,
70,SKC,"89,100",400,+0.45%,"5,000","33,443","37,535",8.87,"510,466",32.28,3.86,
71,삼성카드,"28,650",250,-0.87%,"5,000","33,194","115,859",9.85,"124,020",8.86,5.04,
72,현대제철,"24,850",250,-1.00%,"5,000","33,161","133,446",18.81,"637,583",-12.33,0.10,
73,현대차2우B,"90,300",800,+0.89%,"5,000","32,946","36,485",62.05,"118,539",13.01,N/A,
74,대한항공,"18,850",50,+0.27%,"5,000","32,839","174,210",11.75,"1,050,642",-2.81,-22.09,
75,에스원,"86,300","1,700",-1.93%,500,"32,793","37,999",55.78,"61,292",22.17,11.32,
76,DB손해보험,"44,900",800,-1.75%,500,"31,789","70,800",40.07,"123,231",5.87,6.92,
77,롯데지주,"29,950",300,-0.99%,200,"31,420","104,909",11.33,"181,170",-4.52,-5.21,
78,더존비즈온,"105,000","4,000",-3.67%,500,"31,156","29,673",45.51,"185,021",65.54,18.78,
79,금호석유,"100,500","1,500",-1.47%,"5,000","30,620","30,468",33.32,"109,579",11.50,11.84,
80,호텔신라,"77,500","1,600",+2.11%,"5,000","30,417","39,248",20.86,"1,118,186",-40.98,20.16,
81,GS,"32,700",100,-0.30%,"5,000","30,383","92,915",20.31,"242,733",-27.05,6.26,
82,동서,"30,000","1,350",+4.71%,500,"29,910","99,700",5.90,"318,359",21.74,10.53,
83,쌍용양회,"5,880",90,-1.51%,"1,000","29,627","503,860",3.00,"1,169,333",22.19,7.02,
84,녹십자,"253,500",0,0.00%,"5,000","29,625","11,687",17.39,"133,629",496.09,-0.35,
85,대림산업,"82,400","1,100",-1.32%,"5,000","28,675","34,800",40.03,"218,543",4.64,11.74,
86,두산밥캣,"27,950",700,+2.57%,500,"28,020","100,249",21.93,"481,765",15.31,7.05,
87,삼성증권,"30,700",500,-1.60%,"5,000","27,415","89,300",24.89,"336,846",8.42,8.15,
88,NH투자증권,"9,200",120,-1.29%,"5,000","25,890","281,409",13.51,"807,476",6.02,9.12,
89,두산퓨얼셀,"46,550","4,650",-9.08%,100,"25,832","55,494",5.07,"2,264,246",70.96,N/A,
90,GS리테일,"33,200",200,+0.61%,"1,000","25,564","77,000",16.49,"201,689",15.31,6.25,
91,하이트진로,"36,050",800,-2.17%,"5,000","25,283","70,134",10.11,"398,103",37.24,-3.86,
92,대우조선해양,"23,400",650,-2.70%,"5,000","25,086","107,206",9.23,"225,396",-26.99,-1.22,
93,KODEX 200선물인버스2X,"4,080",70,+1.75%,0,"25,059","614,200",1.67,"166,674,748",N/A,N/A,
94,TIGER 200,"31,540",285,-0.90%,0,"24,885","78,900",4.60,"2,077,115",N/A,N/A,
95,CJ,"83,300","2,500",-2.91%,"5,000","24,304","29,177",19.13,"80,303",16.19,6.24,
96,HMM,"7,410",150,+2.07%,"5,000","24,210","326,726",7.86,"3,875,891",-9.50,-55.46,
97,한샘,"101,000","1,000",+1.00%,"1,000","23,769","23,534",24.67,"72,937",45.45,7.32,
98,제일기획,"20,550",350,-1.67%,200,"23,641","115,041",30.38,"588,625",18.38,15.09,
99,키움증권,"105,500","3,000",-2.76%,"5,000","23,335","22,119",25.07,"44,759",7.07,16.97,
100,한국항공우주,"23,700",250,-1.04%,"5,000","23,102","97,475",14.20,"412,891",14.78,15.84,
101,한국가스공사,"25,000",250,+1.01%,"5,000","23,078","92,313",8.67,"276,448",-5.17,0.48,
102,롯데쇼핑,"79,900",100,-0.12%,"5,000","22,603","28,289",11.47,"105,796",-1.66,-8.14,
103,LG화학우,"293,500","23,000",-7.27%,"5,000","22,567","7,689",53.81,"194,136",50.59,N/A,
104,휠라홀딩스,"36,300",700,-1.89%,"1,000","22,053","60,752",45.64,"153,229",10.98,23.81,
105,일진머티리얼즈,"47,450","1,300",-2.67%,500,"21,880","46,111",8.95,"334,669",42.94,8.52,
106,메리츠증권,"3,220",55,-1.68%,"1,000","21,766","675,962",12.34,"2,074,979",4.39,15.06,
107,삼성엔지니어링,"10,900",250,-2.24%,"5,000","21,364","196,000",30.27,"955,282",8.26,24.62,
108,현대차우,"87,000",0,0.00%,"5,000","21,190","24,357",55.24,"134,248",12.54,N/A,
109,오뚜기,"584,000","5,000",-0.85%,"5,000","21,055","3,605",17.45,"2,858",16.68,7.79,
110,KODEX 레버리지,"15,190",275,-1.78%,0,"20,932","137,800",2.56,"54,486,942",N/A,N/A,
111,신세계,"211,500","4,000",-1.86%,"5,000","20,823","9,845",27.71,"93,975",-7.79,14.24,
112,BGF리테일,"119,500",500,-0.42%,"1,000","20,654","17,284",31.65,"27,055",15.95,26.46,
113,현대해상,"22,700",150,-0.66%,500,"20,294","89,400",40.41,"180,253",6.67,6.23,
114,농심,"331,000","2,500",-0.75%,"5,000","20,134","6,083",19.74,"21,976",16.47,3.72,
115,GS건설,"25,050",50,-0.20%,"5,000","20,064","80,098",28.08,"330,936",5.25,11.79,
116,한화,"26,300",450,-1.68%,"5,000","19,714","74,959",19.11,"508,222",13.78,2.09,
117,부광약품,"30,350","1,150",-3.65%,500,"19,678","64,838",5.27,"1,928,699",705.81,-2.00,
118,씨에스윈드,"110,500",500,+0.45%,500,"19,101","17,286",8.44,"573,091",45.23,9.92,
119,종근당,"173,500","8,500",-4.67%,"2,500","18,887","10,886",13.18,"95,298",24.89,11.94,
120,한올바이오파마,"35,450","1,250",-3.41%,500,"18,519","52,241",7.05,"616,095",86.25,14.90,
